Дата начисления;Группа услуг;Тип начисления;Артикул;Название товара;Количество;Цена продавца;Вознаграждение Ozon, %;Сумма итого, руб.
08.01.2026;Услуги партнёров;Эквайринг;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;0,00 ₽;0%;-8,11 ₽
09.01.2026;Услуги партнёров;Эквайринг;DU-23F;Ройбуш Крем-карамель 500 гр;1;0,00 ₽;0%;-28,10 ₽
13.01.2026;Услуги партнёров;Эквайринг;DU-22B;Каркаде 500 гр чай из лепестков суданской розы (гибискус);1;0,00 ₽;0%;-15,33 ₽
15.01.2026;Услуги доставки;Обработка отправления Drop-off (ПВЗ);DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;35%;-10,00 ₽
15.01.2026;Услуги доставки;Логистика;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;35%;-99,64 ₽
15.01.2026;Продажи;Выручка;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;0%;1 510,58 ₽
15.01.2026;Продажи;Программы партнёров;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;0%;0,00 ₽
15.01.2026;Продажи;Баллы за скидки;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;0%;546,42
15.01.2026;Вознаграждение Ozon;Вознаграждение за продажу;DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;35%;-719,95 ₽
15.01.2026;Услуги партнёров;Обработка отправления Drop-off партнёрами (АПВЗ);DU-40A;Сказки Шахерезады 500 гр смесь чёрного и зелёного чая с лепестками цветов и натуральным ароматом маракуйи и клубники;1;2 057,00 ₽;35%;-20,00 ₽
